names,ages,minutes
Victor Gomez,21,4
Maxime Gonalons,32,"1,550"
Diego González,26,"1,793"
Édgar González,24,"1,464"
Giovanni González,26,365
Nicolás González,19,"1,114"
Roberto González,20,135
Gori,19,9
Andoni Gorosabel,24,"2,289"
Jaume Grau,24,3
Dominik Greif,24,90
Clément Grenier,30,60
Antoine Griezmann,30,263
Antoine Griezmann,30,"1,695"
Andrés Guardado,34,"1,393"
Sergi Guardiola,30,"1,710"
Nemanja Gudelj,29,"1,046"
Gonçalo Guedes,24,"2,606"
Ander Guevara,24,867
John Guidetti,29,279
Hugo Guillamón,21,"2,361"
Gerard Gumbau,26,"1,890"
Jon Guridi,26,206
Raúl Guti,24,"1,627"
Marcos Mauro López,30,136
Miguel Gutiérrez,20,260
Munir El,25,474
Varazdat Haroyan,28,"1,437"
Eden Hazard,30,717
Kike Hermoso,21,90
Mario Hermoso,26,"1,865"
Aridane Hernández,32,"1,159"
Luis Hernández,32,"1,366"
Mario Hernández,22,395
Héctor Herrera,31,859
Sergio Herrera,28,"3,240"
Yangel Herrera,23,"1,645"
Matthew Hoppe,20,131
Robert Ibáñez,28,93
Vicente Iborra,33,"1,034"
Oussama Idrissi,25,127
Oussama Idrissi,25,902
Iglesias,23,719
Borja Iglesias,28,"1,573"
Asier Illarramendi,31,374
Nikita Iosifov,20,1
Alexander Isak,21,"2,140"
Isco,29,331
Nicolas Jackson,20,165
Jakub Jankto,25,587
Adnan Januzaj,26,"1,625"
Jason,27,678
Jason,27,75
Luis Javier,23,"2,844"
Álvaro Jiménez,26,234
Joaquín,40,471
Jofre,20,20
Frenkie de,24,"2,476"
Luuk de,30,654
Joan Jordán,27,"2,514"
Josan,31,"1,211"
Willian José,29,"1,604"
Joselu,31,"3,122"
Josema,25,183
Luka Jović,23,369
Miguel Juan,25,70
José Juan,21,201
Juanmi,28,"2,131"
Lago Junior,30,177
Vinicius Júnior,21,"2,690"
Ferran Jutglà,22,301
Jens Jønsson,28,"1,303"
Lee Kang-in,20,"1,411"
Kiké,31,"1,862"
Koba Koindredi,19,181
Koke,29,"2,508"
Luca Koleosho,16,1
Geoffrey Kondogbia,28,"1,882"
Jules Koundé,22,"2,736"
Toni Kroos,31,"2,103"
Takefusa Kubo,20,"1,605"
Víctor Laguardia,31,"3,042"
Diego Lainez,21,140
Érik Lamela,29,"1,015"
Juanmi Latasa,20,9
Toni Lato,23,590
Robin Le Normand,24,"3,330"
Jeremías Ledesma,28,"3,420"
Wu Lei,29,474
Florian Lejeune,30,"2,699"
Iñigo Lekue,28,"1,925"
Thomas Lemar,25,"1,440"
Ruben Lendinez,18,137
Clément Lenglet,26,826
Javier Llabrés,18,132
Marcos Llorente,26,"2,447"
Giovani Lo,25,994
Julen Lobete,20,284
Renan Lodi,23,"1,181"
David López,31,743
Diego López,39,"3,177"
Javi López,19,462
Unai López,25,"1,160"
Mamadou Loum,24,"2,312"
Anthony Lozano,28,"1,672"
Florentino Luís,21,992
José Luis,26,"1,871"
José Luis,34,"2,719"
Luismi,20,13
Andriy Lunin,22,180
Darwin Machís,28,"1,376"
Pablo Maffeo,24,"2,945"
Nemanja Maksimović,26,"2,936"
Hugo Mallo,30,"1,826"
Mickael Malsa,25,"1,143"
Giorgi Mamardashvili,20,"1,620"
Reinildo Mandava,27,"1,298"
Aïssa Mandi,29,"1,375"
Nikola Maraš,25,"1,044"
Marcelo,33,525
Iván Marcone,31,809
Óscar de Marcos,32,"1,679"
José Mari,33,386
José María Giménez,26,"2,042"
Mariano,27,342
Mika Màrmol,19,1
Roger Martí,30,"2,115"
Anthony Martial,25,490
Martín,22,115
Ander Martin,20,88
Andrés Martín,22,186
Carlos Martín,19,6
Iván Martín,22,166
Iñigo Martínez,30,"2,341"
Javi Martínez,21,879
Pablo Martínez,23,656
Omar Mascarell,28,"2,493"
Jaime Mata,32,672
Luís Maximiano,22,"3,136"
Borja Mayoral,24,"1,044"
Jordi Mboula,22,434
Óscar Melendo,23,990
Gonzalo Melero,27,"1,692"
Memphis,27,"1,851"
Tomás Mendes,16,9
Brais Méndez,24,"3,021"
Édgar Méndez,31,"1,614"
Ferland Mendy,26,"1,734"
Fran Mérida,31,266
Mikel Merino,25,"2,890"
Martín Merquelanz,26,173
Matt Miazga,26,833
Miguel,21,829
Éder Militão,23,"3,031"
Luis Milla,26,"2,773"
Pere Milla,28,"1,644"
